Codigo,Estacao,UF,jan1,jan2,jan3,fev1,fev2,fev3,mar1,mar2,mar3,abr1,abr2,abr3,mai1,mai2,mai3,jun1,jun2,jun3,jul1,jul2,jul3,ago1,ago2,ago3,set1,set2,set3,out1,out2,out3,nov1,nov2,nov3,dez1,dez2,dez3
83586,SETE LAGOAS,MG,101.8,83.9,82.9,61.6,42.7,43.2,72.4,61.8,34.4,26.4,16.0,15.0,5.9,6.8,12.3,3.4,0.9,2.3,0.7,1.8,4.1,3.6,1.2,3.8,8.1,11.3,22.3,15.9,23.5,43.5,NaN,NaN,NaN,93.8,113.3,115.8
82392,SOBRAL,CE,28.8,34.2,60.8,40.7,69.8,51.3,56.4,58.7,107.9,76.6,66.7,63.0,43.3,25.0,24.8,13.9,8.6,7.7,6.6,8.6,2.3,2.0,1.1,0.7,0.3,0.0,0.0,0.0,0.0,2.0,2.5,1.4,1.6,2.2,9.9,11.1
82141,SOURE,PA,103.6,150.2,144.7,173.1,190.0,132.3,161.3,214.0,244.5,211.0,163.7,134.6,130.1,84.0,82.4,79.6,61.3,38.9,43.6,45.1,34.5,42.5,21.2,13.9,6.2,5.3,1.5,4.0,2.1,7.9,3.4,10.7,13.6,18.1,41.0,56.2
83076,SANTA RITA DE CASSIA,BA,44.4,56.2,70.9,46.7,47.7,38.2,48.9,44.4,59.2,29.2,23.0,19.3,14.1,3.7,3.8,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.7,1.2,0.8,0.3,5.3,6.7,25.6,29.4,45.4,48.5,72.6,54.5,71.0,48.3
82797,SURUBIM,PE,7.2,15.5,15.2,10.8,20.2,10.5,17.5,21.2,23.8,16.0,27.4,24.6,26.6,23.6,26.3,31.0,37.4,31.1,26.8,28.3,27.4,17.3,14.9,14.3,9.9,10.8,2.4,2.9,3.2,2.5,1.4,6.2,2.6,2.3,6.1,10.8
83235,TAGUATINGA,TO,81.7,75.1,107.3,86.0,69.3,60.1,75.4,93.1,101.8,68.6,62.0,29.4,17.1,9.1,9.1,1.7,0.1,0.0,0.0,0.1,0.2,0.1,1.1,0.2,6.9,1.1,9.2,23.0,30.9,61.9,71.7,78.2,96.1,73.6,81.1,82.8
82807,TARAUACA,AC,101.8,90.9,123.8,96.9,94.1,78.5,116.2,92.7,130.0,82.3,61.3,59.2,54.9,48.8,31.6,31.6,22.1,20.6,21.2,12.3,14.1,13.1,25.3,29.2,33.0,38.5,49.5,54.1,60.9,66.6,68.2,89.3,96.0,96.5,80.3,117.4
82683,TAUA,CE,28.2,30.6,43.2,19.2,41.0,34.2,34.1,35.3,61.2,26.6,41.8,29.5,24.7,12.6,11.1,8.3,7.6,3.3,NaN,NaN,NaN,1.8,0.4,1.3,0.1,0.7,0.5,0.6,2.6,4.0,1.9,5.2,4.2,7.4,8.3,8.6
82317,TEFE,AM,90.5,96.4,97.0,104.3,77.2,76.7,90.9,96.4,116.1,97.2,104.4,111.6,96.3,89.4,87.5,53.9,55.8,47.3,44.5,40.0,29.3,17.2,34.8,42.1,38.4,35.3,40.6,44.4,49.6,60.6,54.2,73.2,56.8,55.5,77.1,85.1
83492,TEOFILO OTONI,MG,41.3,48.1,40.4,55.4,23.6,25.7,50.2,44.3,35.8,26.3,22.8,NaN,NaN,NaN,10.8,8.7,5.2,6.9,7.9,11.6,6.8,4.4,8.6,7.3,6.6,9.3,14.8,12.0,9.7,41.4,58.9,61.9,75.3,83.9,82.6,56.7
82578,TERESINA,PI,53.0,74.0,79.5,74.2,100.7,58.8,74.6,92.7,125.6,102.6,85.9,73.1,53.4,32.4,27.1,10.5,3.2,6.5,6.4,2.8,3.5,4.3,1.2,1.7,5.1,1.2,4.2,7.8,4.8,9.8,18.4,9.0,18.8,34.0,19.5,40.1
83744,TERESOPOLIS,RJ,111.6,88.1,85.4,67.8,63.5,47.8,67.6,74.4,72.7,53.4,30.6,22.3,18.4,32.2,18.4,16.8,8.9,11.5,12.8,12.1,10.4,11.9,6.7,13.9,23.3,13.5,36.3,38.8,30.4,37.2,64.7,85.4,81.4,77.6,85.1,114.7
83948,TORRES,RS,50.0,58.8,59.7,59.5,67.8,41.4,48.7,48.6,55.3,35.0,29.7,43.3,34.2,45.8,41.1,33.6,34.2,35.2,38.3,41.7,40.4,45.1,30.1,50.6,32.3,56.6,49.3,48.9,48.7,46.8,39.7,37.1,36.5,29.2,37.0,50.8
82145,TRACUATEUA,PA,62.4,92.5,113.5,128.8,162.9,93.6,126.1,155.9,167.5,145.2,142.1,122.3,134.3,109.1,98.4,79.5,66.8,63.0,69.5,65.4,57.0,39.7,22.9,13.6,9.6,5.5,1.6,3.3,4.1,3.0,1.1,4.1,7.1,7.7,24.0,24.4
82361,TUCURUI,PA,93.7,133.2,136.8,149.6,140.0,111.3,143.5,150.1,146.6,133.0,139.3,130.7,104.7,72.5,74.4,31.6,22.7,21.2,17.9,NaN,13.1,9.3,6.5,17.6,14.8,11.6,10.0,19.5,22.4,22.9,31.5,33.6,51.3,53.1,68.3,90.1
82198,TURIACU,MA,54.9,67.1,99.6,81.5,133.7,81.6,123.7,150.5,181.8,156.6,135.6,128.6,123.5,99.3,83.6,75.0,72.8,58.0,67.2,48.2,39.6,24.1,14.1,7.3,3.5,4.3,3.6,2.2,1.1,5.1,3.0,4.8,3.4,5.5,15.1,15.8
83577,UBERABA,MG,116.6,91.6,120.0,91.6,70.0,66.6,72.0,82.2,87.1,45.1,30.8,19.0,15.6,14.5,19.5,11.7,4.5,5.1,0.9,4.3,4.3,3.4,3.2,7.9,14.5,16.6,22.0,37.0,40.4,53.5,56.5,71.0,75.9,94.8,93.3,94.2
83428,UNAI,MG,64.7,58.5,81.0,71.8,60.0,46.4,78.0,66.0,60.7,44.6,24.1,18.7,3.8,10.9,5.2,2.9,2.0,1.4,0.0,0.3,0.3,0.1,3.1,4.6,3.3,5.6,16.8,24.0,28.6,41.1,77.2,80.3,90.0,77.4,81.9,81.7
83927,URUGUAIANA,RS,40.2,36.3,53.1,52.2,52.2,43.7,56.1,54.3,43.8,53.7,63.4,41.0,42.3,38.4,39.1,31.2,26.7,26.5,23.3,23.3,20.4,18.9,22.9,19.1,24.4,37.1,25.9,54.8,61.1,55.6,47.3,40.6,33.6,29.6,51.1,75.0
82870,TERESINA,PI,43.0,49.5,56.9,54.6,67.8,29.7,43.7,58.8,60.7,55.9,24.4,24.9,19.1,6.8,8.5,1.6,0.0,0.2,0.2,0.0,0.0,0.0,0.4,0.7,3.7,0.2,4.3,11.9,15.4,21.8,18.4,27.5,45.4,32.9,41.6,36.9
83642,VICOSA,MG,99.3,62.3,74.3,41.1,44.8,33.1,64.4,46.5,52.1,27.6,16.6,13.8,11.0,11.5,11.7,8.1,3.3,4.2,1.1,2.9,3.7,2.2,3.7,4.5,11.5,13.6,24.5,30.0,29.0,40.2,69.2,72.5,63.1,79.1,105.0,81.8
83648,VITORIA,ES,58.7,38.5,34.0,29.9,27.8,21.6,52.7,47.7,39.1,48.2,38.9,35.8,21.8,37.9,32.7,25.8,24.2,20.0,26.9,23.5,17.0,16.5,23.0,20.4,18.0,20.7,24.5,22.4,24.2,77.3,79.1,77.0,77.6,59.4,78.5,63.1
83344,VITORIA DA CONQUISTA,BA,30.1,31.0,35.2,24.5,31.6,20.4,31.3,29.9,39.1,21.0,18.2,14.6,8.8,8.8,7.3,9.5,6.6,9.2,8.1,9.4,10.5,6.1,6.5,6.3,5.1,4.4,9.8,5.6,16.0,21.1,30.8,47.3,49.6,51.3,34.8,31.3
83623,VOTUPORANGA,SP,90.7,89.0,107.2,77.5,65.9,52.0,61.6,48.4,39.2,27.8,25.3,13.6,11.9,15.7,25.7,13.5,7.3,7.7,3.9,5.9,5.7,6.0,3.9,8.1,17.6,19.1,24.2,24.7,25.4,45.4,42.3,44.1,57.1,61.1,55.9,72.1
82376,ZE DOCA,MA,75.1,90.0,90.1,99.4,134.4,88.0,104.1,110.0,134.4,116.9,119.9,105.4,81.7,58.8,62.1,29.7,34.1,21.8,16.3,13.2,10.8,3.5,8.2,4.5,6.0,5.7,5.2,3.8,6.3,12.9,14.5,19.1,17.9,24.1,37.6,44.7
